h	Omega_M	Omega_L	OmegaK	chi2	
0.3014626926835625	0.30345420419844954	0.7536264022714136	-0.05708060646986324	1808909.5974722896	
0.278504598338673	0.3097520095633351	0.7558805071778918	-0.06563251674122683	1803614.399190774	
0.3164674082229516	0.29792804214908214	0.7777999218985024	-0.07572796404758464	1785128.178659073	
0.2711393257882121	0.3153623573457208	0.7793156743467166	-0.09467803169243738	1778120.9386580656	
0.30984093028350707	0.30853002478583214	0.7889466053593733	-0.09747663014520547	1773165.61808	
0.3378680938029021	0.29528874108552217	0.801716735783306	-0.09700547686882821	1763563.80934889	
0.30016399883847517	0.29251977869061174	0.8011268229276267	-0.09364660161823846	1758880.2449827325	
0.2733499229560865	0.3139209415307611	0.7993352101903162	-0.11325615172107728	1757945.2817050482	
0.16668431806816184	0.3148802011458128	0.7878537810661266	-0.1027339822119393	1755992.1270784861	
0.08871332408206936	0.32098008139566697	0.7921803226746622	-0.11316040407032912	1742515.3771427157	
0.06375584071843843	0.3311933790745299	0.805929768310868	-0.13712314738539788	1726270.2399286595	
0.07185277664763107	0.3192843756359547	0.8169511893670522	-0.13623556500300693	1716014.033231861	
0.003452591258343851	0.32034376234198536	0.8279846047602131	-0.14832836710219843	1697821.9880847705	
-0.07946338318987459	0.31272220343216717	0.8310149372442466	-0.14373714067641374	1685920.77441264	
-0.14390357066422865	0.32129127024383974	0.8385381116998935	-0.1598293819437332	1672566.5688771028	
-0.18356730604944071	0.34041560829618744	0.8420785829539496	-0.182494191250137	1665900.4138184998	
-0.2756038025152624	0.34416712872009225	0.8398497682790173	-0.1840168969991095	1659287.0123626592	
-0.26191673281440053	0.3430280245952199	0.8468478391612693	-0.18987586375648924	1654073.6624780982	
-0.3038262316165092	0.3555491048151126	0.8536116782880343	-0.2091607831031469	1644336.7933538808	
-0.37673115457792844	0.36120175178655095	0.8567550997909819	-0.21795685157753275	1635062.4687039359	
-0.3913453615579422	0.36706726726025607	0.8573168480134659	-0.22438411527372193	1633411.7919465231	
-0.4164034535479213	0.37240243658958094	0.8623755864893857	-0.23477802307896667	1626807.2676893799	
-0.4411878442331806	0.3823222284482393	0.8850454195978393	-0.2673676480460786	1604956.0601616078	
-0.5170467870619244	0.3736618626181394	0.8911932785506814	-0.2648551411688208	1593086.8080696678	
-0.47697396954351173	0.3801911050080816	0.8991519758475864	-0.27934308085566806	1589784.5825255243	
-0.5166832631787575	0.35943947837363577	0.9023943042676315	-0.2618337826412672	1583265.6216824239	
-0.5822277285643426	0.33710323733517983	0.9016970968227285	-0.23880033415790836	1578053.3571050765	
-0.5319320085230472	0.3418752229390616	0.921538816831909	-0.26341403977097055	1565686.1244753618	
-0.540776157915513	0.3436911278178303	0.930886881053071	-0.27457800887090134	1557384.356357233	
-0.569460178900242	0.34494563438505726	0.9294040636415185	-0.2743496980265757	1556323.3189955337	
-0.6242134882526319	0.34635189135926653	0.9418477922187771	-0.2881996835780436	1542045.891232601	
-0.6253597375815578	0.32897617604648555	0.9503037111102185	-0.27927988715670404	1534876.2239874075	
-0.6018828668888627	0.3118685000246025	0.9663398776222263	-0.2782083776468287	1523800.7495943753	
-0.6915829814670436	0.30329969192482353	0.9723474508914862	-0.27564714281630975	1512200.93653969	
-0.7236663774074779	0.30922948236721165	0.9697476060212893	-0.278977088388501	1511942.1323505975	
-0.7708653349425637	0.30731907403469627	0.9727712370078391	-0.28009031104253534	1506152.963298843	
-0.7420186714029371	0.3416129642254177	0.9811918221533832	-0.32280478637880095	1502544.9326632037	
-0.7995659173187303	0.349156566965288	0.9825640131069067	-0.33172058007219474	1497500.997888392	
-0.7987053572494492	0.34119510915831275	0.9835028075481826	-0.3246979167064954	1496697.8235516641	
-0.7994529116025495	0.33909065775573427	0.9877030401260298	-0.32679369788176404	1493451.059148334	
-0.8493026415608926	0.33134059813354194	1.0039187165092243	-0.33525931464276626	1477779.9273927263	
-0.8163716536769288	0.3343104033328407	1.0208186873427274	-0.3551290906755681	1467888.4085858306	
-0.7598595630333927	0.34435246072373926	1.0280774572789217	-0.372429918002661	1466907.0547467878	
-0.8481201858261582	0.34614110338868515	1.041178331495428	-0.38731943488411313	1451473.0920518504	
-0.8638646859088729	0.36137797659670645	1.0493528137273727	-0.4107307903240791	1444986.1224800155	
-0.8425528482326188	0.36472482215817803	1.071937654765098	-0.4366624769232761	1431073.5225770108	
-0.8240386579340311	0.33421692153007687	1.0791403961717227	-0.4133573177017996	1426925.9751990004	
-0.8627149296322101	0.3158914878049629	1.076450267320387	-0.39234175512534997	1425730.577024433	
-0.7918301573521096	0.3271565491301935	1.0854238550185247	-0.4125804041487182	1424832.6103458472	
-0.7786376481660938	0.33675922394758817	1.0976003929673486	-0.43435961691493674	1417896.397110973	
-0.782391026979865	0.34151981403627496	1.0973833311536179	-0.4389031451898928	1417868.7633775014	
-0.7906876252964867	0.3490466371134168	1.1126707388183434	-0.4617173759317603	1407491.0138493152	
-0.8363132690756953	0.35051880253275786	1.112745513071966	-0.4632643156047238	1404326.7081648642	
-0.9058552558668285	0.34238063557591303	1.1200645054852634	-0.4624451410611764	1394798.7517504788	
-0.9347209833040253	0.3212090890419336	1.1240621460574454	-0.44527123509937905	1389965.3990244288	
-0.8953423300702419	0.3173415730044655	1.1291877692306507	-0.4465293422351162	1389249.0487233435	
-0.9633566449485227	0.33239831302555156	1.1414718972092766	-0.4738702102348281	1377368.3379489414	
-1.0489200082085108	0.31827488362940126	1.145584804608049	-0.4638596882374503	1369122.6971607832	
-1.1479333024012255	0.31572187397969914	1.1397992960928913	-0.4555211700725905	1366550.9413941228	
-1.1955789286956355	0.3353734375396894	1.1385504731300748	-0.47392391066976425	1364775.4467798965	
-1.2417969035082268	0.32771991998242606	1.1343698578255599	-0.462089777807986	1364498.3036001117	
-1.2349148051301673	0.33547825333662235	1.1468015610918991	-0.4822798144285214	1357342.374677405	
-1.3766420996771846	0.3380438363910013	1.146405572369218	-0.48444940876021914	1349429.4023384152	
-1.364716913752785	0.31621323715493943	1.14727337698972	-0.4634866141446595	1349236.6635678085	
-1.3538995535539144	0.3130269196771743	1.1690700492184565	-0.4820969688956307	1336614.2969259943	
-1.4495938555131855	0.3089182996822816	1.1863263767656373	-0.49524467644791903	1321014.4288061527	
-1.5004808340061992	0.2968752363033339	1.2077827818366909	-0.5046580181400248	1305660.7139540482	
-1.5213519434042984	0.2987750171740517	1.223041940610839	-0.5218169577848908	1295917.6589046773	
-1.4698872606976692	0.32209177541055867	1.2290147110689609	-0.5511064864795195	1295661.6307305088	
-1.4760125255604113	0.3306378392845685	1.2315038523781692	-0.5621416916627378	1294064.690390122	
-1.5065619054209929	0.3084564365940541	1.2453818779673032	-0.5538383145613572	1284415.2906200807	
-1.490795423679783	0.2941532524935269	1.2631781439976686	-0.5573313964911955	1275343.810669075	
-1.5588533703206613	0.29506373574376227	1.2729141542097056	-0.5679778899534678	1266546.5511425638	
-1.546029657394018	0.29064301671447373	1.2756169906882204	-0.5662600074026942	1265709.4338805857	
-1.52793085283006	0.2819345292720018	1.2786420667545841	-0.5605765960265859	1264921.234982938	
-1.479801170628699	0.2675308627715354	1.284046187569211	-0.5515770503407464	1264382.3089873549	
-1.5211512735164383	0.26861792333686124	1.2911467925780067	-0.559764715914868	1258479.1346952235	
-1.5100353506971977	0.27312255823190956	1.3016356772099735	-0.5747582354418831	1253643.0909717493	
-1.543929424177743	0.2980364176442351	1.3127180961496656	-0.6107545137939008	1246500.616791869	
-1.5410806885506965	0.30708822098485655	1.3360317661454995	-0.643119987130356	1234922.6570735872	
-1.5829244818001211	0.3199651017698408	1.336491634513966	-0.6564567362838067	1232721.9903561748	
-1.619643165944916	0.3198022414575259	1.35389041210083	-0.6736926535583558	1222195.8774806987	
-1.6277373593836957	0.3039189125085065	1.354453966064421	-0.6583728785729275	1221294.6263876632	
-1.673573685546343	0.3000102104640504	1.3585108575937346	-0.658521068057785	1216960.7360587511	
-1.7481014251991334	0.30011532034565547	1.354719324158017	-0.6548346445036726	1215168.9737522134	
-1.8118446077300308	0.2942591878749115	1.3683579781413646	-0.6626171660162761	1205366.5210716682	
-1.8583547403937828	0.28478827375079846	1.3728629406620543	-0.6576512144128528	1200866.6188767867	
-1.8415300241046666	0.27990524685274326	1.3813025622191986	-0.6612078090719418	1197540.6286057776	
-1.8574257319287244	0.2894022412354575	1.3984859799897806	-0.6878882212252382	1188753.839446943	
-1.8671792093723092	0.2958604142924683	1.4002575662331649	-0.6961179805256332	1187545.4882058864	
-1.9366213490600592	0.3057080230701154	1.4100536256422305	-0.7157616487123459	1179874.3337558676	
-1.9441488890330911	0.31036686912487077	1.4154782375718236	-0.7258451066966943	1177068.599622933	
-2.003732374969953	0.3166572894782841	1.4190946501317359	-0.73575193961002	1172772.568299487	
-2.0403798194137845	0.31549148134666455	1.4428111275937403	-0.7583026089404048	1160304.554522323	
-2.0602889595770733	0.31437583731781027	1.4508177642183997	-0.76519360153621	1155812.3296186929	
