h	Omega_M	Omega_L	OmegaK	chi2	
0.7067953412222379	0.30298990358011896	0.8330048347495546	-0.13599473832967346	564.8315769556539	
0.7077936246516424	0.30048539504888566	0.8360594402030808	-0.13654483525196648	565.6326170940424	
0.7038730967359902	0.31706396575003487	0.836839479228258	-0.1539034449782929	563.8519765786166	
0.7021334838834047	0.3280531905361121	0.8318870159631895	-0.15994020649930163	563.5627277764597	
0.7022561756525209	0.33417226076468226	0.8431815789345082	-0.17735383969919039	563.865634228562	
0.7067591549867789	0.3308856783087612	0.852555430289333	-0.18344110859809426	564.5802434420925	
0.7080655383529434	0.33519561942236353	0.8432924145276792	-0.17848803395004276	566.7009615790073	
0.7067583615934973	0.33167534449825614	0.8361607806984126	-0.16783612519666868	565.0816233032726	
0.6992473074585909	0.3338667148323138	0.8292807835295114	-0.16314749836182518	565.6864724110351	
0.6976860892545049	0.3488459614666421	0.8240414694448871	-0.17288743091152925	566.2172508275931	
0.700700236386163	0.3390820336143402	0.8261002184745038	-0.16518225208884396	563.6078722454229	
0.7054834544230127	0.3328705579878204	0.849462598489719	-0.18233315647753934	563.8472356981556	
0.7014414447146065	0.33812550999322105	0.8367290454829196	-0.1748545554761406	563.7521390759873	
0.7099935743623053	0.3232598163654274	0.8389117607135096	-0.16217157707893703	569.3941486024365	
0.7088309837902446	0.32016998810442426	0.8327121365613898	-0.15288212466581397	567.4404389520874	
0.7026706953194437	0.3183173280748591	0.8472872151554979	-0.1656045432303569	565.3955715719203	
0.7075687422515964	0.31514359435561357	0.8357205513070847	-0.15086414566269823	565.3021208220873	
0.7063887837168591	0.31048588691504914	0.8337043271174844	-0.14419021403253351	564.3758497635797	
0.7055391716502402	0.31293251986431414	0.8342064171817434	-0.14713893704605752	563.956110850293	
0.7052707231336733	0.32623547521504304	0.8272959428434151	-0.15353141805845816	563.7456581797522	
0.7053863289715989	0.3202478405376011	0.8270929364171513	-0.14734077695475234	563.7040581213723	
0.7032460567554998	0.33282152722979813	0.8136071325200824	-0.1464286597498805	563.1179027316443	
0.7011596848021269	0.32117415548344863	0.8141429155461211	-0.1353170710295697	563.430365572442	
0.7038367585253019	0.34159804894378465	0.8316674242152873	-0.17326547315907193	563.3990135316601	
0.7001562797267386	0.3315777372639801	0.8284133199944513	-0.15999105725843143	564.6696663857409	
0.7004797675367614	0.3304523082682501	0.8312345032505557	-0.16168681151880582	564.6694131470639	
0.7035690343361926	0.3276113180419928	0.8312586060729282	-0.15886992411492107	563.1742277484824	
0.7035628739773448	0.3416947256178066	0.8215882069654884	-0.16328293258329507	563.5264395386201	
0.7026750257181035	0.33946493609596684	0.8210414483027092	-0.16050638439867604	563.0748792740358	
0.7019892239648302	0.32994110722470826	0.8162172957034315	-0.14615840292813975	562.8994239404706	
0.701648403916213	0.3310570995655926	0.8026194026550798	-0.1336765022206724	562.7984038816375	
0.6989465359203764	0.3181406904864384	0.795777924681352	-0.11391861516779034	564.2721461418181	
0.7005403344235848	0.3225963327585901	0.7898366714540329	-0.11243300421262303	562.718084114553	
0.6963155101845276	0.3276584703145246	0.7852069705527746	-0.11286544086729922	566.2733145035669	
0.6953724074131566	0.33150638281389244	0.7692722717448305	-0.10077865455872292	566.2627169616163	
0.6963649052793142	0.3393086625234346	0.7653556081019073	-0.1046642706253419	564.8624072710436	
0.7022845824032404	0.33869367449792237	0.7753773296145312	-0.11407100411245352	565.208018804146	
0.6989131796079033	0.3347799973614375	0.7841582538945546	-0.11893825125599211	563.3539774444864	
0.7027753652062884	0.32300851009617537	0.7954699804984585	-0.11847849059463389	562.9013613667239	
0.7009748531350769	0.33608475757273426	0.7904946715018614	-0.12657942907459563	563.1161463801361	
