h	Omega_M	Omega_L	OmegaK	chi2	
0.6884635852655299	0.4042954617700435	0.6728780219424519	-0.07717348371249544	584.3604951215458	
0.6895507726049945	0.40019892055926437	0.6847772910885023	-0.0849762116477667	581.5624058311361	
0.6897811854981133	0.3886446223674255	0.6692467189938724	-0.05789134136129792	580.7846409028546	
0.6930006246628054	0.3937741454668916	0.6803939196533814	-0.07416806512027296	582.0733880712756	
0.6937048998710471	0.3907152727132507	0.6786688090912991	-0.0693840818045498	582.3044098252842	
0.6964872374991683	0.38467878304081404	0.7030293238841445	-0.08770810692495856	579.3626181498062	
0.6923763641004133	0.3634034988680506	0.69473903952716	-0.05814253839521055	572.2336540031343	
0.6953297457915473	0.3670734040638537	0.7020310708159619	-0.06910447487981564	573.1196451255302	
0.691996978765065	0.339537772600027	0.6942283490904393	-0.03376612169046633	569.2350025228034	
0.6921306130945235	0.3174339781905708	0.6982888982749942	-0.015722876465565028	567.8907443386729	
0.6923865738069446	0.33375941237575046	0.7009534938939705	-0.03471290626972101	568.2503963449738	
0.6953601385080712	0.3183343133917701	0.6989932014112155	-0.017327514802985555	565.2346620269262	
0.6976876276329831	0.3224049930393942	0.7064128358835853	-0.02881782892297946	565.6234448253908	
0.6989918290859248	0.30385352234609686	0.7114181215248059	-0.01527164387090274	563.6670067110431	
0.6937924679927073	0.3060597428425579	0.7079783170281405	-0.014038059870698394	565.8911881764178	
0.7004788466623774	0.3071369370397059	0.716927564489375	-0.024064501529080906	564.7278908581098	
0.6963174613489181	0.3120223949371409	0.7031277902146238	-0.015150185151764695	564.3348437481746	
0.6965718694534014	0.3145098240344026	0.721087485513471	-0.03559730954787366	563.8619515967902	
0.6955817214860549	0.3218020203768183	0.7217142454391091	-0.04351626581592749	564.7009061000022	
0.6947302906429351	0.3240713249043873	0.7257155000874782	-0.049786824991865486	565.4234994369995	
0.6973897181335926	0.3380907506949658	0.72636969542237	-0.0644604461173357	565.9084794299135	
0.6960225395498614	0.33468326221348516	0.7107534962718108	-0.04543675848529605	566.3345478219196	
0.6923864205279295	0.33097875254928155	0.7140159603671912	-0.04499471291647272	568.169488050411	
0.6979831137675389	0.3226593012739512	0.7149512483869671	-0.03761054966091826	565.0500278714911	
