h	Omega_M	Omega_L	OmegaK	chi2	
0.6896675668117374	0.3494095043261672	0.6875555976295225	-0.03696510195568958	572.9138881880752	
0.6881687239181532	0.33299979346196795	0.6552253051666743	0.011774901371357727	574.23085524714	
0.692960997816385	0.33945687065421626	0.6416121003855377	0.01893102896024601	574.0119215330308	
0.6891082201062555	0.32781911804067493	0.6463954603017649	0.02578542165756026	572.6335872056446	
0.693385337936499	0.3138338948928815	0.6597288133151303	0.02643729179198817	567.4634364578442	
0.6927589829173225	0.3008345801754474	0.6497363400946072	0.04942907972994537	566.8695749469452	
0.7017385882510497	0.28347681752865006	0.66605067398906	0.0504725084822899	569.6472116882276	
0.6931767458480558	0.27268124211823697	0.653582155531045	0.073736602350718	565.2819739996222	
0.6949023698622322	0.2561416001622358	0.6713573670151516	0.07250103282261255	564.6030175589101	
0.702338428647243	0.23463022202468722	0.6858230281286782	0.07954674984663457	563.5020431585119	
0.6986076399329321	0.24303737533080663	0.6768671024613141	0.0800955222078793	562.6407443799478	
0.7010660642198432	0.23589704336753103	0.6710385906916208	0.09306436594084821	563.0615271001416	
0.6975968701503502	0.23354005326832902	0.6685387779304325	0.09792116880123847	563.4362859486494	
0.699304391921583	0.2340625324737639	0.6657295377489729	0.10020792977726312	562.6598474964894	
0.7015610357132013	0.23145325184357757	0.6753959959105214	0.09315075224590108	563.2505275676116	
0.6998895961921068	0.22446134598368156	0.6701142151662265	0.105424438850092	563.1547565413871	
0.6987311614504904	0.2256155150324056	0.6789889400673242	0.09539554490027014	564.0573103408628	
0.7076932922243857	0.2045678885347692	0.6953649958144859	0.10006711565074489	569.8491377027965	
0.7019569941048303	0.20108495747181215	0.6834188919348476	0.11549615059334029	565.9630453066309	
0.7061542688752396	0.20518296969545938	0.6792420957809779	0.11557493452356271	568.04901849504	
0.7051352744271815	0.19433850501016084	0.674540046235862	0.13112144875397724	567.3514004511162	
0.707561060583816	0.19042028503371974	0.6696418891003462	0.13993782586593406	570.9895881170651	
0.7024964811867278	0.20074766364558444	0.6364378830164475	0.16281445333796796	565.2034625745509	
0.6955201038278248	0.1985811563897625	0.6404312522024589	0.16098759140777863	568.0750504372631	
0.703004502095233	0.19302753430959999	0.6246861141167055	0.18228635157369455	566.2964423323328	
0.7032259473583576	0.20607664433148187	0.6390093647302809	0.1549139909382372	566.0282575277237	
